gene,log2FC,pvalue
202095_s_at,2.597133258426968,5.762110686796686e-10
202107_s_at,1.7572044313510569,1.0675351159107487e-17
202109_at,-1.143375735818033,6.663901190793718e-16
202134_s_at,2.7913895697451365,3.1031791990128725e-23
202145_at,1.1843017045765958,8.51559420579752e-06
202146_at,1.1139334447793914,1.2422974461200638e-13
202147_s_at,1.3451809290216499,3.2030465070658883e-16
202188_at,1.0076895889284732,4.649396247286612e-12
202191_s_at,-1.4926408276240055,4.1112600746417606e-08
202192_s_at,-1.1130955713894215,3.6980996231318463e-07
202196_s_at,-1.618455483694163,1.2714993757930965e-08
202199_s_at,1.1352269991778567,3.009158259691056e-12
202200_s_at,1.1039110742669216,2.3236577164482315e-15
202204_s_at,-1.0094286626473004,7.293393570213481e-09
202233_s_at,1.0230330775554943,4.496096860818643e-18
202234_s_at,2.0085079199780767,3.0055840679626173e-12
202235_at,1.1485449355987947,2.074857643281192e-08
202236_s_at,2.4456042121129062,5.0681794247176156e-12
202240_at,2.5233839572485612,6.206306038769176e-23
202260_s_at,-1.3262084297067673,2.8079849134966463e-07
202267_at,1.4615122033433812,4.9255874369595414e-06
202269_x_at,1.6755229816388049,6.38729125713085e-09
202270_at,1.6260010304192924,1.8162554448407002e-08
202273_at,-1.4303487695258985,1.7573974971456172e-13
202274_at,1.7848842504795828,0.0009675096867808423
202307_s_at,1.2748240970128801,1.435168296094475e-06
202308_at,-1.6427083995615233,6.211636186948093e-17
202310_s_at,-1.3386466374349126,5.5957011912532456e-11
202311_s_at,-1.7684006193477657,4.430849899504679e-12
202338_at,1.062404875308303,7.98372388853167e-05
202341_s_at,2.4963935845437115,3.2672710935917665e-19
202342_s_at,2.374005872841874,2.3433434324942454e-15
202345_s_at,2.1691289750616587,1.3071134663612609e-17
202357_s_at,-1.147614502603453,0.013674976573134294
202363_at,-2.370222485612498,6.097149686206973e-11
202403_s_at,-1.2216974732803543,2.178572786747672e-10
202404_s_at,-1.1741165579610868,2.291338041738087e-10
202409_at,-2.56846213757194,3.4299165758466506e-09
202412_s_at,1.4906854234036722,4.9571781787072736e-20
202413_s_at,1.3681541381200333,1.9701971179210391e-25
202430_s_at,1.0063363195396011,1.0602078775185907e-07
202431_s_at,1.86189053987394,1.9590143015487137e-11
202446_s_at,1.3009425952315699,2.669527942899379e-09
202450_s_at,-1.5366321375719387,5.284300674543247e-10
202454_s_at,-1.5747764428610562,1.961177539505994e-12
202458_at,-1.6774498629761574,1.349893933145884e-13
202465_at,-1.0553808057001905,6.010407685351371e-07
202480_s_at,1.1713499040833097,5.496678361162144e-09
202483_s_at,1.0677874705398729,4.108263280947679e-15
202504_at,3.0447291668950394,9.280808441261175e-10
202524_s_at,1.0712827021101683,0.0005452226535925866
202554_s_at,-2.4094979391614144,4.346317757982966e-08
202580_x_at,3.5049131762126606,1.5238096906990308e-22
202589_at,2.1239192628117287,2.1567608402661287e-17
202599_s_at,-1.381542008769527,3.076927896407114e-14
202600_s_at,-1.38290355987942,7.485463802425835e-12
202613_at,2.0000693696903253,2.5639457869329595e-18
202625_at,1.4833710413812007,2.000575177494535e-12
202626_s_at,1.7462881227733629,2.0357050408892352e-12
202628_s_at,-1.0902917292408887,0.0005463774563287838
202630_at,-1.056642956974514,3.0410007171646877e-07
202637_s_at,1.6650731323650323,4.326557227940905e-09
202638_s_at,2.1731786763496865,8.944090875488301e-11
202643_s_at,1.0463397040284992,5.5328085447809726e-05
202647_s_at,1.228868078925733,1.4594464854937147e-06
202690_s_at,1.0558213373527003,2.969678962501331e-17
202704_at,-1.1459437270485058,4.740910063768194e-10
202705_at,2.266777023842147,2.60300622791038e-13
202709_at,-1.69808958344752,2.384465258806836e-08
202718_at,-1.9861639435461766,2.6233872542746824e-07
202752_x_at,-2.393963587284187,5.892894905628144e-21
202756_s_at,-1.351533644834201,3.0193055708595593e-09
202765_s_at,-1.9413293285831736,2.562380562661761e-10
202766_s_at,-1.426501937517127,6.508983330352876e-11
202768_at,-2.0235561934776647,1.0717298770119403e-06
202770_s_at,-1.0544533433817485,5.9012867712143474e-08
202779_s_at,1.7769411126335974,1.0352973465877776e-15
202784_s_at,1.069073590024666,1.3670617835400494e-05
202808_at,-1.1872360701562066,5.835345812962675e-18
202815_s_at,-1.0072187996711426,1.445943182649331e-12
202854_at,1.2290600548095387,2.26839915198142e-16
202859_x_at,1.1343687448616064,0.013658220733502022
202870_s_at,3.119326916963553,1.5559222853767793e-15
